"Campaign name","Campaign ID",Placement,Platform,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (INR)","Cost per result",Starts,Ends,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Messaging conversations replied","Messaging conversations started","Unique CTR (all)","Cost per lead",Leads,"Leads conversion value","Ad delivery","Ad set delivery","Campaign delivery","Result rate","Cost per messaging conversation started","Reporting starts","Reporting ends"
"LPU - Sept",6804632076597,Feed,instagram,inactive,campaign,85715,124901,1.45716619,"7-day click or 1-day view","Messaging conversations started",33,5507.78936734,166.9027081,,,423,13.02077865,44.09723995,0.45395954,,33,,,,,,,inactive,0.02642093,166.9027081,2023-07-20,2026-08-19
"Feb Ads - 31st Jan",6861084796197,Feed,facebook,inactive,campaign,64384,91147,1.41567781,"7-day click or 1-day view","Messaging conversations started",38,5023.15059043,132.18817343,,,422,11.90320045,55.11043249,0.8414978,,38,,,,,,,inactive,0.04169089,132.18817343,2023-07-20,2026-08-19
"Fb Ads -SK - 06/08/2026",6988772271597,"Instagram Reels",instagram,inactive,campaign,163964,271146,1.65369227,"7-day click or 1-day view","Messaging conversations started",64,4947.59462415,77.306166,,,1269,3.89881373,18.24697626,0.48608499,,64,,,,,,,inactive,0.02360352,77.306166,2023-07-20,2026-08-19
"FB Ads - 01/07/2026",6976611088797,Feed,facebook,active,campaign,94465,131676,1.39391309,"7-day click or 1-day view","Messaging conversations started",51,4676.15686429,91.68935028,,,960,4.87099673,35.51259808,1.23257086,,51,,,,,,,active,0.03873143,91.68935028,2023-07-20,2026-08-19
"Feb Ads - 31st Jan",6861084796197,"Facebook Reels",facebook,inactive,campaign,66945,110506,1.65069833,"7-day click or 1-day view","Messaging conversations started",49,4575.39964642,93.37550299,,,227,20.15594558,41.40408346,0.46332326,,49,,,,,,,inactive,0.04434148,93.37550299,2023-07-20,2026-08-19
"FB Ads - New Session - 27/04/2026",6910460698397,"Instagram Stories",instagram,inactive,campaign,88317,150591,1.70511906,"7-day click or 1-day view","Messaging conversations started",51,4554.7738871,89.3092919,,,803,5.67219662,30.24599005,0.6534255,,51,,,,,,,inactive,0.03386657,89.3092919,2023-07-20,2026-08-19
"LPU Online – 20/25",6723531168997,"Instagram Reels",instagram,inactive,campaign,71204,126230,1.77279366,"7-day click or 1-day view","Messaging conversations started",35,4517.75466908,129.07870483,,,162,27.8873745,35.78986508,0.24083023,,35,,,,,,,inactive,0.02772716,129.07870483,2023-07-20,2026-08-19
"FB Ads - 01/07/2026",6976611088797,Status,whatsapp,active,campaign,1349457,1354531,1.00376003,"7-day click or 1-day view","Messaging conversations started",715,4495.19853356,6.28699096,,,9602,0.46815232,3.31863836,0.82663298,,715,,,,,,,active,0.0527858,6.28699096,2023-07-20,2026-08-19
"FB Ads - 01/07/2026",6976611088797,"Instagram Stories",instagram,active,campaign,72449,100575,1.38821792,"7-day click or 1-day view","Messaging conversations started",40,4462.35883649,111.55897091,,,798,5.59192837,44.36846966,0.88988317,,40,,,,,,,active,0.03977131,111.55897091,2023-07-20,2026-08-19
"Fb Ads -SK - 06/08/2026",6988772271597,Feed,instagram,inactive,campaign,66238,88253,1.33236209,"7-day click or 1-day view","Messaging conversations started",36,4443.5136994,123.43093609,,,269,16.51863829,50.34971842,0.36372701,2,36,,,,,,,inactive,0.04079181,123.43093609,2023-07-20,2026-08-19
"SK-LPU-MAY 2025 – 1",6724323110197,"Instagram Reels",instagram,inactive,campaign,81703,137851,1.68722079,"7-day click or 1-day view","Messaging conversations started",20,3827.13340554,191.35667028,,,121,31.6292017,27.76282657,0.1697485,,20,,,,,,,inactive,0.01450842,191.35667028,2023-07-20,2026-08-19
